AE1:1
BOOT1:1
C16:1
C18:1
C19:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C28:1
C29:1
C30:1
C31:1
C32:1
C33:1
C34:1
C35:1
C36:1
C37:1
C38:1
C39:1
C40:1
CN1:1
CN2:1
D2:1
EN1:1
H1:1
H2:1
H3:1
H4:1
J3:1
J4:1
JP1:1
L4:1
L5:1
Q1:1
Q2:1
R10:1
R11:1
R4:1
R5:1
R6:1
R7:1
R8:1
R9:1
U19:1
U3:1
U4:1
U5:1
U6:1
USB1:1
